team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef,teamcode,Team,CONF,DIV,GP,PPG,OPPPPG,AVGPTDIFF,PACE,oEFF,dEFF,EFFDIFF,SOS,SCHEDADJRATING,CONSISTENCYRATING,ADJ4FACTORS,WINS,LOSSES,WINPerc,EWINPerc,PROJWINPerc,AchievementLevel,Season,MIN,OffRtg,DefRtg,NetRtg,ASTPerc,ASTToTO,ASTRatio,OREBPerc,DREBPerc,REBPerc,TOVPerc,eFGPerc,TSPerc,PIE,Playoff
MEM,82,8.4,7.9,1.21,10.2,4.1,6.8,60.4,60.4,16.2,5.8,15.2,2.6,61.6,37.9,2015,cut,offense,MEM2015,MEM,West,Southwest,82,99.1,101.3,-2.2,93.3,105.4,107.8,-2.4,-0.47,-2.87,14.7,-0.095,42,40,0.512,0.428,0.435,0.077,2015,3966,104.7,107.1,-2.4,56.2,1.56,16,29.8,70.9,49.5,14,47.7,52.4,48.3,1
SAS,82,7.9,7.6,1.27,10,4.3,6.8,62.6,62.6,13.8,5.1,13.8,5.6,62.4,93.1,2015,cut,offense,SAS2015,SAS,West,Southwest,82,103.5,92.9,10.6,93.7,110.3,99,11.3,-2.23,9.07,14.6,0.062,67,15,0.817,0.849,0.781,0.036,2015,3941,109.3,98.2,11.1,61.1,1.88,18.8,26.6,74.6,51.6,13.8,52.6,56.4,57.8,1
PHI,82,9.1,8.4,1.08,9.8,4,7.3,54.8,54.8,15.6,6.5,14.7,2.7,55.8,0,2015,cut,offense,PHI2015,PHI,East,Atlantic,82,97.4,107.6,-10.2,97.9,98.9,109.3,-10.4,1.16,-9.24,12.8,-0.034,10,72,0.122,0.164,0.208,-0.086,2015,3961,98.4,108.6,-10.2,59.4,1.31,16.3,25,69.3,46.6,16.5,48.7,51.9,42.8,0
HOU,82,8.3,7.4,1.18,9.8,4.1,6.4,63.1,63.1,19,7.4,17.6,4.3,60.9,24.1,2015,cut,offense,HOU2015,HOU,West,Southwest,82,106.5,106.4,0.1,97.6,108.3,108.1,0.2,0.56,0.76,11.6,-0.012,41,41,0.5,0.503,0.507,-0.007,2015,3966,107.3,107.3,0,58.9,1.39,16.4,29.7,69.2,49.2,16.1,51.6,55.3,49,1
MIN,82,7.3,6.8,1.34,9.7,3.9,5.7,67.1,67.1,20.3,5,18.8,5,67.2,100,2015,cut,offense,MIN2015,MIN,West,Northwest,82,102.4,106,-3.6,95.2,106.5,110.2,-3.7,0.33,-3.37,11.7,-0.039,29,53,0.354,0.381,0.376,-0.022,2015,3976,105.4,109,-3.5,61.9,1.56,17.6,27.9,70.2,49.4,15.5,49.8,54.9,49.7,0
BOS,82,7.7,6.8,1.26,9.7,4.1,6.6,62.9,62.9,13.8,4.3,13.3,3.3,63.6,86.2,2015,cut,offense,BOS2015,BOS,East,Atlantic,82,105.7,102.5,3.2,98.5,106.8,103.6,3.2,-0.61,2.59,12.3,-0.029,48,34,0.585,0.605,0.603,-0.018,2015,3956,105.8,102.5,3.3,61.6,1.76,17.4,29,70.7,49.5,13.8,48.8,53.1,52,1
NYK,82,8.2,7.7,1.18,9.6,3.8,6.6,58.6,58.6,17,6.4,16.3,4.3,59.2,20.7,2015,cut,offense,NYK2015,NYK,East,Atlantic,82,98.2,100.9,-2.7,93.3,104.7,107.5,-2.8,0.12,-2.68,14.2,0.017,32,50,0.39,0.411,0.422,-0.032,2015,3961,103.9,106.7,-2.8,55.7,1.53,16,28,71.8,50.2,14.2,48.3,52.7,48.7,0
MIA,82,7.7,7.3,1.24,9.5,3.9,6.2,62.3,62.3,18.1,6.3,17.8,5.2,61.9,69,2015,cut,offense,MIA2015,MIA,East,Southeast,82,100,98.4,1.6,93.6,106.1,104.4,1.7,-0.19,1.51,13.8,0.053,48,34,0.585,0.553,0.549,0.036,2015,3966,105.5,103.7,1.7,54.3,1.48,16.3,28,72.9,51.2,14.8,50.8,54.5,52.5,0
PHX,82,8.3,7.4,1.12,9.3,3.9,6.8,57.3,57.3,15.4,7.3,14.2,4.5,56.7,3.4,2015,cut,offense,PHX2015,PHX,West,Pacific,82,100.9,107.5,-6.6,98.5,102.3,109,-6.7,1.45,-5.25,14.3,-0.029,23,59,0.28,0.283,0.32,-0.04,2015,3941,101.5,107.9,-6.5,55.8,1.21,15.4,29.7,73.3,50.8,17.3,48.7,52.6,45,0
CLE,82,7.4,7,1.23,9,3.8,6,63.7,63.7,17.1,7.5,16.4,5.3,61.4,55.2,2015,cut,offense,CLE2015,CLE,East,Central,82,104.3,98.3,6,93.3,110.9,104.5,6.4,-0.24,6.16,13.9,0.054,57,25,0.695,0.698,0.677,0.018,2015,3971,110.2,103.9,6.3,58.7,1.67,17.4,29.4,74.2,51.9,14.3,52.4,55.8,52.8,1
