team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
WAS,82,7.8,6.8,0.84,6.5,2.5,6,41.1,43.8,11.6,12.9,10.8,2.4,40.7,34.5,2018,iso,offense
MIN,82,7.7,6.7,0.84,6.5,2.4,6.3,38.2,40.8,12.2,8.7,11.4,2.5,40.1,37.9,2018,iso,offense
CHA,82,6.9,6.2,0.91,6.3,2.3,5.8,39.2,43.7,12.9,6.5,12.1,3.3,41.5,75.9,2018,iso,offense
BOS,82,7.8,7,0.79,6.2,2.5,6.5,37.8,40.7,7.4,10,6.3,1.6,37.2,6.9,2018,iso,offense
DAL,82,6.8,6.1,0.85,5.8,2,5.4,37.1,43.4,11.6,9.5,10,0.9,38.7,41.4,2018,iso,offense
PHX,82,6.5,5.8,0.87,5.7,1.9,5.1,37.4,41.2,14.7,8.4,12.3,1.9,41.8,58.6,2018,iso,offense
DET,82,6.5,5.9,0.87,5.7,2,5.5,36,42.1,11,7.3,9.9,2,38.7,55.2,2018,iso,offense
MEM,82,6.2,5.8,0.86,5.4,2,5,39.1,42.5,12.4,9.6,10.2,3.3,40.5,51.7,2018,iso,offense
NYK,82,6.3,5.6,0.76,4.8,1.7,5.1,33.9,37.1,11.8,9.3,10.4,1.9,36.1,0,2018,iso,offense
IND,82,5.7,5.2,0.79,4.5,1.6,4.7,34.9,38.8,10.6,7.9,9.4,1.1,37.9,10.3,2018,iso,offense
PHI,82,5,4.3,0.88,4.4,1.6,3.9,41.1,43.9,14.8,8.9,13.8,2.7,43.8,62.1,2018,iso,offense
DEN,82,5.3,4.8,0.8,4.3,1.6,4.5,35.1,39.4,10.5,7.8,9.2,2.5,37.1,13.8,2018,iso,offense
ORL,82,4.6,4.2,0.9,4.2,1.6,3.8,41.8,45.5,11,10.2,8.7,2.9,42,65.5,2018,iso,offense
MIA,82,5.1,4.6,0.78,3.9,1.5,4.3,34.3,39,8.4,7.9,7.2,1,35.7,3.4,2018,iso,offense
ATL,81,4.4,3.7,0.85,3.8,1.2,3.4,37.1,41.5,14,11.8,10.4,2,39.5,44.8,2018,iso,offense
UTA,82,3.6,3.2,0.83,3,1,2.9,34.9,40.6,10.8,10.5,9.1,0.7,37.5,27.6,2018,iso,offense
HOU,64,23.1,20,1.04,24,7.8,18.9,41.4,49.8,14.4,7.2,13.3,3.8,44.2,100,2019,iso,offense
POR,66,11.2,10,0.96,10.7,3.9,9.4,41.7,46.1,11.7,7.7,10.4,2.8,43.6,86.2,2019,iso,offense
OKC,64,9.1,8.4,0.97,8.8,3.1,7.4,41.6,47.3,13,8.2,11,2.4,43.8,93.1,2019,iso,offense
MIL,65,8.3,7.2,0.91,7.6,2.7,6.5,41.1,46.8,13.5,11.6,12,2.8,41.1,65.5,2019,iso,offense
LAL,63,8.7,7.7,0.9,7.8,2.9,7.2,40.2,44.6,12.9,8.6,11.5,4,41.3,51.7,2019,iso,offense
BOS,64,7.6,6.8,0.97,7.4,2.6,6.3,40.6,47.4,11.9,6.5,10.6,1.4,43.8,89.7,2019,iso,offense
BKN,64,8.6,7.5,0.84,7.2,2.4,7,33.7,38.4,15.1,6.2,13.2,2.5,39.4,20.7,2019,iso,offense
LAC,64,7.8,6.8,0.89,7,2.5,6.2,40.4,43.7,14.2,9.2,13,3.4,42.6,44.8,2019,iso,offense
CLE,65,7.6,6.8,0.88,6.7,2.6,6.3,40.5,44,10.9,9.1,10.1,3,40.8,31,2019,iso,offense
DAL,67,6.8,6.1,0.93,6.3,2.1,5.5,38.8,45.3,12.3,8.8,11.2,2.9,40.5,75.9,2019,iso,offense
MIN,64,6.9,5.9,0.92,6.4,2.3,5.6,41.8,48.3,9.8,10,9.3,1.1,41.7,69,2019,iso,offense
NOP,64,6.7,5.7,0.92,6.2,2.2,5.2,42.7,47.2,12.6,11.6,11.6,2.3,43,72.4,2019,iso,offense
TOR,64,7,6.3,0.88,6.2,2.2,5.6,39.3,43.3,13.1,10,11.4,2.4,41.9,34.5,2019,iso,offense
NYK,66,7.6,6.7,0.78,5.9,2.3,6.2,37.6,39.8,10.5,11.3,9.7,2.6,37.7,3.4,2019,iso,offense
UTA,64,6.2,5.7,0.97,6.1,2.1,5,42.4,50.3,10,11,9,1.5,42.6,96.6,2019,iso,offense
GSW,65,7,6.3,0.84,5.9,2.1,5.6,37.4,40.8,12.3,10.3,11.4,2.4,39.5,17.2,2019,iso,offense
SAC,64,6.8,6.1,0.86,5.8,2,5.2,39.6,43.7,12.9,13.1,12,2.3,40.6,27.6,2019,iso,offense
WAS,64,6.2,5.4,0.89,5.5,2,4.9,41.5,44.3,13.1,11.1,12.6,3.5,42.5,41.4,2019,iso,offense
SAS,63,6,5.4,0.91,5.5,2.1,4.7,43.8,45.2,14.7,10.8,14.7,4.2,44.1,62.1,2019,iso,offense
DEN,65,5.6,5,0.9,5,1.9,4.6,40.5,45.2,11,7.4,10.5,1.4,43.3,55.2,2019,iso,offense
MIA,65,5.3,4.8,0.9,4.8,1.7,4.1,41.5,45.3,14.3,10.2,13.4,2,43.4,58.6,2019,iso,offense
DET,66,5.3,4.8,0.89,4.7,1.7,4.2,40.6,44,12.4,10.1,10.7,2,42.4,37.9,2019,iso,offense
ATL,67,4.8,4.1,0.95,4.5,1.6,3.7,41.8,45.6,15.9,9,13.7,3.1,44.2,82.8,2019,iso,offense
PHI,65,5.4,4.9,0.86,4.7,1.8,4.4,41.3,42.8,12.1,8.8,11,1.7,42.7,24.1,2019,iso,offense
IND,65,4.9,4.5,0.93,4.6,1.9,4.2,44.6,48.2,7.5,9.3,7.2,1.2,43.9,79.3,2019,iso,offense
CHI,65,5.6,5,0.82,4.6,1.7,4.7,35.4,39.8,10.2,8,9.7,2.8,37.1,13.8,2019,iso,offense
MEM,65,5.3,4.6,0.79,4.2,1.6,4.2,37,40.2,11.1,9.9,10.8,1.5,38.5,6.9,2019,iso,offense
PHX,65,4.4,3.9,0.9,4,1.4,3.4,40.4,43.6,14.6,11.5,12.8,1.7,42.7,48.3,2019,iso,offense
CHA,65,5.1,4.7,0.78,4,1.4,4.2,32.8,38.6,10.9,9.7,9.7,2.4,34.4,0,2019,iso,offense
ORL,65,3.4,3.1,0.8,2.7,1,2.7,37.7,41.1,10.8,13.1,9.5,2.7,37.4,10.3,2019,iso,offense
GSW,82,8.8,7.9,0.58,5,1.1,2.2,48.9,55.1,20.1,55.6,1.8,0.4,30.1,75.9,2015,misc,offense
LAC,82,7.8,7.3,0.61,4.7,0.5,1.3,35.2,39.8,41.3,42,1.6,0.2,38.9,93.1,2015,misc,offense
HOU,82,8.1,7.2,0.56,4.5,0.6,1.8,34.4,38.7,30.6,47.2,3,0.8,32.4,69,2015,misc,offense
DET,82,7.6,6.8,0.58,4.4,0.6,1.7,32.4,37,35.6,41.9,2.1,0.5,35.2,79.3,2015,misc,offense
MEM,82,6.9,6.5,0.6,4.1,0.7,1.6,40.3,42.9,25.4,51.6,3.9,0.9,33.2,89.7,2015,misc,offense
DEN,82,6.9,6.3,0.59,4.1,0.8,2,38,42,22.5,48.9,3.9,0.2,32.4,86.2,2015,misc,offense
TOR,82,6.2,5.9,0.64,3.9,0.6,1.6,36.4,39.9,29,46,2,0.4,35.9,100,2015,misc,offense
DAL,82,6.4,6,0.61,3.9,0.5,1.3,39.3,42.1,27.6,52.5,3.1,0.6,33.9,96.6,2015,misc,offense
BOS,82,6.8,6,0.56,3.8,0.6,1.7,37.9,40.4,23.9,51.3,2.5,0.4,30.7,65.5,2015,misc,offense
SAC,82,6.9,6.1,0.55,3.8,0.6,1.7,34.3,36.9,28.2,48,3.4,0.5,32.3,55.2,2015,misc,offense
MIN,82,6.9,6.4,0.54,3.7,0.6,1.6,39.4,42.4,21.2,55.9,3.6,0.7,29.2,48.3,2015,misc,offense
IND,82,7,6.4,0.52,3.7,0.6,1.6,40,43.5,22.4,56,3.7,1,28.5,37.9,2015,misc,offense
POR,82,6.6,6,0.55,3.6,0.6,1.6,39.8,43.2,23.2,52.7,3,0.6,30.8,58.6,2015,misc,offense
PHX,82,8,7.1,0.45,3.6,0.7,2,34.2,36.6,18.3,57.9,3.4,0.8,24.4,6.9,2015,misc,offense
CHA,82,6,5.7,0.59,3.6,0.3,1.2,27.7,31.2,28.7,51.1,2.4,0.2,33.5,82.8,2015,misc,offense
OKC,82,6.4,5.7,0.56,3.6,0.6,1.6,39.6,41.4,22.9,52.6,2.1,1,30.5,62.1,2015,misc,offense
ORL,82,6.6,6,0.54,3.6,0.8,1.9,41.3,42.6,19.7,52.8,2.8,1.3,29.7,51.7,2015,misc,offense
WAS,82,6.3,5.8,0.53,3.4,0.7,1.7,40.4,42.9,19.4,54.6,4.1,1.6,28,44.8,2015,misc,offense
CLE,82,6.4,6,0.51,3.3,0.5,1.3,36.2,40.5,23.9,56.9,2.1,0.8,28.1,31,2015,misc,offense
MIL,82,6.5,6.1,0.51,3.3,0.8,1.8,42.2,43.9,16.4,56.5,2.4,0.6,26.7,24.1,2015,misc,offense
ATL,82,5.7,5.3,0.57,3.3,0.5,1.4,38.3,42.2,22.5,53.1,3,0.2,30.8,72.4,2015,misc,offense
CHI,82,6.6,6,0.49,3.2,0.6,1.6,35.3,36.5,19.7,55.9,1.1,0.2,27.3,17.2,2015,misc,offense
NYK,82,6.4,6.1,0.5,3.2,0.5,1.3,41.3,42.8,20,60.6,2.3,0.4,26.8,20.7,2015,misc,offense
MIA,82,6.3,6,0.51,3.2,0.5,1.5,34.2,35.8,23.3,53.1,2.1,0,29.6,27.6,2015,misc,offense
NOP,82,6.1,5.6,0.52,3.2,0.6,1.5,38.4,43.2,20.4,55.5,3,0.8,28.1,34.5,2015,misc,offense
LAL,82,5.9,5.5,0.52,3.1,0.6,1.8,33.3,36.7,19.3,50.4,2.7,0.6,28.2,41.4,2015,misc,offense
BKN,82,5.5,5.1,0.48,2.6,0.5,1.4,34.8,37,19,56.5,2.9,0.9,25.8,13.8,2015,misc,offense
SAS,82,5.7,5.5,0.46,2.6,0.4,1,34.1,37.6,22.4,59.6,2.4,0.2,26.9,10.3,2015,misc,offense
UTA,82,6.2,5.9,0.41,2.5,0.3,1.3,24.5,25.9,22.1,57.3,2.2,0.4,24.7,0,2015,misc,offense
PHI,82,5.7,5.3,0.43,2.4,0.6,1.7,35.7,39.3,14,56.9,2.8,0.6,22.5,3.4,2015,misc,offense
ATL,82,7.1,6.4,0.59,4.1,0.6,1.6,39.7,43.1,24.8,52.9,2.8,0.3,32.4,89.7,2016,misc,offense
BOS,82,6.9,6.5,0.59,4.1,0.5,1.6,31.1,33.7,27.2,49.4,2.5,0.4,33.6,93.1,2016,misc,offense
LAC,82,6.7,6.2,0.61,4.1,0.5,1.4,33.3,39,33.5,46,2,0.4,36.3,96.6,2016,misc,offense
GSW,82,7.8,7,0.52,4,0.8,2.2,37.7,43.2,18.1,53.8,2.2,0.6,26.7,41.4,2016,misc,offense
HOU,82,5.8,5.2,0.64,3.7,0.6,1.7,38,44.9,23.9,47.7,4,0.4,33.4,100,2016,misc,offense
WAS,82,6.7,6.1,0.55,3.7,0.5,1.5,33.3,37.3,24.8,53.4,4.9,1.3,29.3,69,2016,misc,offense
SAC,82,7.1,6.7,0.52,3.7,0.7,1.8,37.1,41.1,21.2,54,2.7,1,28.5,34.5,2016,misc,offense
PHX,82,7.6,6.6,0.47,3.6,0.6,1.8,36.8,38.5,20.1,57.2,4,0.6,26.7,10.3,2016,misc,offense
NYK,82,6.5,5.9,0.54,3.5,0.7,1.6,43.1,46.5,21.1,56.1,4.3,1.7,28.4,65.5,2016,misc,offense
PHI,82,6.4,5.8,0.54,3.5,0.5,1.5,33.1,35.1,23.3,53.3,3.6,0.4,30.6,62.1,2016,misc,offense
LAL,82,6.5,5.8,0.52,3.4,0.7,1.8,40,44.5,19.1,54.3,5.2,0.7,27,37.9,2016,misc,offense
DEN,82,6.4,5.7,0.52,3.3,0.6,1.8,31.7,34.1,22.1,50.4,2.9,0.2,29.4,44.8,2016,misc,offense
BKN,82,5.8,5.2,0.57,3.3,0.8,1.9,41.2,45.4,17.6,50.8,3.3,0.4,29.3,82.8,2016,misc,offense
CHI,82,6.1,5.6,0.53,3.2,0.7,1.6,42.2,45.7,20.4,54.9,3.4,0.8,28.7,55.2,2016,misc,offense
NOP,82,5.4,5,0.58,3.2,0.6,1.8,33.6,38.6,22.5,44.3,2.7,0.4,32.1,86.2,2016,misc,offense
MEM,82,6.5,6.2,0.48,3.2,0.5,1.7,27.5,30.6,20.3,53.9,2.1,0.7,25.7,17.2,2016,misc,offense
CHA,82,5.5,5.2,0.57,3.1,0.4,1.2,31,34,25.4,52.7,1.1,0.2,31.4,79.3,2016,misc,offense
DAL,82,5.9,5.8,0.53,3.1,0.5,1.5,31.2,34.8,23.1,51.7,3.1,0.6,29.1,48.3,2016,misc,offense
CLE,82,6.2,5.7,0.51,3.1,0.5,1.7,33.1,34.6,21.7,51.8,3.2,0.4,27.9,27.6,2016,misc,offense
TOR,82,5.5,5.1,0.56,3,0.5,1.3,37.7,44.3,22.3,54.2,3.6,0.4,29.2,75.9,2016,misc,offense
MIN,82,5.7,5.3,0.53,3,0.5,1.6,33.3,35.6,21.5,51.3,3.9,1.1,28.5,51.7,2016,misc,offense
OKC,82,6,5.3,0.5,3,0.4,1.6,27.1,30.1,24.1,49.7,3.2,0.8,27.8,24.1,2016,misc,offense
SAS,82,5.4,5.1,0.56,3,0.5,1.3,36.7,40.4,22.7,53.2,2,0.7,30.2,72.4,2016,misc,offense
MIA,82,5.4,5,0.54,2.9,0.7,1.6,40.6,42.1,21.3,49.7,3.1,0.9,30.3,58.6,2016,misc,offense
MIL,82,6,5.8,0.48,2.9,0.4,1.3,30.9,33.2,21.8,56.6,2.6,0.6,26.9,13.8,2016,misc,offense
ORL,82,6.3,5.8,0.46,2.9,0.5,1.5,29.4,30.6,21,54.6,1.9,0,26.6,3.4,2016,misc,offense
POR,82,5.9,5.4,0.49,2.9,0.5,1.3,37.5,41.3,21.7,57.3,1.9,0.6,27.7,20.7,2016,misc,offense
UTA,82,5.3,5.2,0.51,2.7,0.3,1,30.9,34,28.6,53.1,2.5,0.5,31.2,31,2016,misc,offense
IND,82,5.9,5.6,0.44,2.6,0.5,1.6,28,31.4,18.1,55.4,2.7,0.6,23.2,0,2016,misc,offense
DET,82,5.4,5,0.47,2.5,0.4,1.5,28.1,30.2,22.3,50.7,0.9,0.5,26.4,6.9,2016,misc,offense
PHI,82,8.4,7.5,0.56,4.7,0.9,2.1,41.5,45.6,23.4,52.2,2,0.3,31.6,65.5,2017,misc,offense
MIN,82,6.4,5.9,0.68,4.4,0.9,2.1,44.7,48.2,23.3,45.8,4.2,1.3,35.2,100,2017,misc,offense
NOP,82,6.7,6,0.6,4,0.8,1.7,43.7,48.2,22.4,52.3,2.6,0.5,31.9,96.6,2017,misc,offense
GSW,82,8,7.4,0.47,3.8,0.7,2.1,35.5,40.1,16.3,58.2,3,0.6,24,31,2017,misc,offense
MIA,82,6.6,6.1,0.57,3.8,0.8,2,40.6,44.1,20.7,50.2,3,0.6,31.1,82.8,2017,misc,offense
DEN,82,6.6,6,0.56,3.7,0.7,1.9,37.9,42.5,21.1,51.6,2.4,0.7,29.2,62.1,2017,misc,offense
LAC,82,6.3,5.7,0.58,3.7,0.5,1.5,36.9,41,26.6,49.9,3.3,0.2,33.4,89.7,2017,misc,offense
CLE,82,6.7,6.2,0.53,3.5,0.6,1.5,39.5,43.3,23.3,55.9,3.5,1.1,29.3,55.2,2017,misc,offense
CHI,82,6.2,5.7,0.56,3.5,0.8,1.9,39.7,45.8,18.2,52,3.3,0.8,28.4,72.4,2017,misc,offense
ATL,82,6.3,5.8,0.54,3.4,0.6,1.7,37.1,41.1,20.5,53.1,2.9,0.6,28.8,58.6,2017,misc,offense
MIL,82,5.8,5.5,0.58,3.4,0.5,1.5,34.9,39.7,23.7,50.3,4.4,0.4,30.8,93.1,2017,misc,offense
HOU,82,5.9,5.5,0.56,3.3,0.5,1.5,33.3,40.2,22.8,52.2,2.7,0.2,29.4,75.9,2017,misc,offense
CHA,82,6.4,5.8,0.51,3.2,0.5,1.5,30.8,32.5,25.1,52.4,3.1,0.6,28.4,48.3,2017,misc,offense
WAS,82,7,6.4,0.46,3.2,0.5,1.6,34.9,38,18.8,58.6,2.6,0,25.5,13.8,2017,misc,offense
DET,82,6.6,6.1,0.48,3.1,0.6,1.6,36.7,40.6,19.1,57.7,3.3,0.6,26,34.5,2017,misc,offense
TOR,82,5.4,5,0.57,3.1,0.6,1.5,37.8,42.9,22.5,49.9,2.9,1.1,30.1,79.3,2017,misc,offense
LAL,82,6.7,5.9,0.46,3.1,0.6,1.8,35.6,38.6,18.9,55,2.4,0.9,25.2,17.2,2017,misc,offense
UTA,82,5.3,5,0.58,3.1,0.5,1.4,33.1,36,26.4,46.8,2.3,0.5,31.9,86.2,2017,misc,offense
IND,82,5.5,5.1,0.56,3,0.6,1.5,36.8,39.6,21.9,50.9,2.7,0.7,30.4,69,2017,misc,offense
NYK,82,6.9,6.3,0.44,3,0.5,1.5,32.8,35.2,18.8,60.1,2.3,0.4,24.3,6.9,2017,misc,offense
PHX,82,7,6.2,0.43,3,0.5,1.5,30.7,32.3,19.2,59.3,2.1,0.7,24.1,3.4,2017,misc,offense
BOS,82,6.4,5.9,0.47,3,0.6,1.7,36.7,38.8,17.2,56.9,1.5,0.8,25.1,24.1,2017,misc,offense
SAS,82,5.9,5.5,0.49,2.9,0.5,1.5,33.3,36.6,21,53.5,1.5,0,27.6,44.8,2017,misc,offense
SAC,82,6.4,6,0.46,2.9,0.6,2,32.7,36.7,14.8,54.7,2.1,0.6,24,10.3,2017,misc,offense
POR,82,5.9,5.4,0.49,2.9,0.5,1.5,37,39.1,19.2,56,2.5,0.2,27.1,41.4,2017,misc,offense
OKC,82,6,5.4,0.47,2.8,0.4,1.5,27,28.6,24.7,50.2,2.6,0.4,27.5,27.6,2017,misc,offense
ORL,82,5.8,5.3,0.48,2.8,0.5,1.5,34.4,37.2,17.8,56.6,2.8,0.8,25.8,37.9,2017,misc,offense
BKN,82,5.4,4.9,0.51,2.8,0.5,1.3,37.6,41.7,20.3,55.5,3.2,0.7,28.2,51.7,2017,misc,offense
MEM,82,6.6,6.2,0.41,2.7,0.4,1.5,23.8,26.2,18.5,58.5,2.4,0.2,22.9,0,2017,misc,offense
DAL,82,5.6,5.3,0.47,2.6,0.5,1.6,29.3,33.1,18.9,52.2,2.4,0.2,26.8,20.7,2017,misc,offense
PHI,82,8.7,7.6,0.57,4.9,0.7,2,35.4,38.1,25.8,51.9,3.2,0.7,32,62.1,2018,misc,offense
NOP,82,6.8,5.8,0.68,4.6,1,2,48.8,53.3,23.8,46.8,3.1,0.9,36.1,100,2018,misc,offense
MIA,82,7.5,6.8,0.58,4.3,0.8,2,42.3,46,23.2,51.2,4.2,0.8,31.4,72.4,2018,misc,offense
LAC,82,6.6,5.8,0.63,4.2,0.7,2,36.2,40.3,26.5,46.5,2.2,0.6,34.1,96.6,2018,misc,offense
UTA,82,6.5,5.8,0.62,4,0.5,2,34.9,39.1,29.4,46.4,1.7,0.2,35.5,93.1,2018,misc,offense
MIN,82,6.5,5.7,0.59,3.8,0.7,2,32.1,35.1,23,45.7,3.6,0.4,31.1,75.9,2018,misc,offense
POR,82,6.8,6,0.56,3.8,0.6,2,40.9,44.9,23.2,54.5,3.8,0.4,30.7,55.2,2018,misc,offense
DET,82,7.1,6.4,0.54,3.8,0.7,2,31.3,34.9,22,48.9,1.7,1,28.3,24.1,2018,misc,offense
DAL,82,6.8,6.1,0.55,3.8,0.5,2,27.6,30.4,26.6,46.3,3,0.7,31.6,44.8,2018,misc,offense
BKN,82,6.2,5.4,0.6,3.7,0.6,1,44.9,49.2,26.5,50.9,4.6,0.8,33.5,79.3,2018,misc,offense
GSW,82,7.5,6.7,0.49,3.7,0.8,2,36.8,42,16.8,55.6,2.6,0.8,25.8,0,2018,misc,offense
CLE,82,6.4,5.9,0.57,3.6,0.8,2,38.4,43.9,19.4,49.7,2.9,0.6,29.9,65.5,2018,misc,offense
OKC,81,6,5.1,0.61,3.6,0.8,2,38.2,42.2,22.7,42.3,4.7,1,31.8,89.7,2018,misc,offense
TOR,82,6.3,5.6,0.57,3.6,0.8,2,37.9,42.3,18.6,49.2,2.9,0.6,29.5,69,2018,misc,offense
SAC,82,6.4,5.5,0.56,3.6,0.7,2,33.5,36.9,23.1,44.5,3.8,1.1,30.3,48.3,2018,misc,offense
ATL,81,7,5.9,0.52,3.6,0.7,2,32.9,36.6,20.6,51.7,3.2,0.9,28.4,10.3,2018,misc,offense
PHX,82,6.5,5.8,0.55,3.5,0.7,2,43.5,47.8,19.5,55.4,4.2,0.9,28.9,34.5,2018,misc,offense
DEN,82,6.5,5.8,0.54,3.5,0.5,2,32.3,35.8,25.2,51.1,2.6,0.6,30,27.6,2018,misc,offense
LAL,82,6.9,6,0.5,3.5,0.7,2,39.9,42.9,20.8,53.8,2.8,0.7,28.6,6.9,2018,misc,offense
MEM,82,6.9,6.4,0.5,3.5,0.5,2,32.8,36.4,24.2,54.2,2.7,0.5,28.6,3.4,2018,misc,offense
IND,82,6.4,5.8,0.54,3.4,0.6,2,40,43.2,23,53.3,2.3,0.2,30.5,31,2018,misc,offense
WAS,82,6.4,5.7,0.53,3.4,0.7,2,36.3,38.5,20.8,50,2.1,0.6,29,17.2,2018,misc,offense
CHA,82,5.7,5.1,0.6,3.4,0.5,2,27.6,31,26.1,43.8,4.5,1.1,32.3,82.8,2018,misc,offense
BOS,82,5.9,5.3,0.56,3.3,0.5,1,37.2,40.9,23.5,52.1,2.1,0.4,31.1,58.6,2018,misc,offense
ORL,82,6.1,5.6,0.54,3.3,0.6,2,39.3,44.1,19.3,54.3,3,0.4,28.2,20.7,2018,misc,offense
SAS,82,5.2,4.8,0.61,3.2,0.6,1,42.2,46.8,22.2,52.8,2.3,0.5,31.5,86.2,2018,misc,offense
HOU,82,5.6,5.1,0.56,3.1,0.5,1,35.9,41.7,24.4,54.2,3.7,1.1,29.8,51.7,2018,misc,offense
CHI,82,5.6,5.1,0.55,3.1,0.7,2,40.4,44.7,19.1,50.8,3.3,0.4,29.3,37.9,2018,misc,offense
NYK,82,5.7,5.1,0.53,3,0.5,1,35.8,39.6,22.4,52.9,3.2,0.9,28.8,13.8,2018,misc,offense
MIL,82,5.3,4.6,0.55,2.9,0.6,1,40.5,43,19.9,52.9,4.4,0.7,29.1,41.4,2018,misc,offense
PHX,65,7.2,6.4,0.62,4.5,0.6,1.5,38.1,42.3,28.1,51.8,3,0.6,34.3,89.7,2019,misc,offense
MIA,65,7.9,7.2,0.56,4.4,0.7,1.9,36.9,41.8,23.7,52.6,2.5,0.2,30.1,72.4,2019,misc,offense
OKC,64,5.8,5.4,0.75,4.3,0.6,1.5,41.7,45.8,32,42.7,3.5,0.5,40.9,100,2019,misc,offense
LAL,63,7.7,6.9,0.55,4.3,0.7,1.8,37.9,42.7,24.8,52.3,2.5,0.8,31.1,69,2019,misc,offense
PHI,65,7,6.3,0.57,4,0.7,1.6,44.3,46.2,23.8,53.5,1.8,0.7,31.7,75.9,2019,misc,offense
MIL,65,6.7,5.8,0.58,3.9,0.8,1.8,46.2,50,19.9,53.9,4.3,0.9,30.8,82.8,2019,misc,offense
HOU,64,6.3,5.5,0.61,3.9,0.8,2,40,44.4,21.4,49,4.4,1.2,30.8,86.2,2019,misc,offense
DAL,67,5.8,5.2,0.63,3.6,0.6,1.5,41.6,48,26.7,47.7,3.1,0.5,34.5,96.6,2019,misc,offense
WAS,64,6.9,6,0.55,3.8,0.7,2,36.2,38.6,21.9,50,2.9,0.7,29.9,62.1,2019,misc,offense
MIN,64,6.8,5.8,0.55,3.7,0.8,2.1,37.6,41.7,20.6,49.8,3.2,0.9,29.1,65.5,2019,misc,offense
BKN,64,7,6.1,0.53,3.7,0.5,1.5,35.7,38.8,25.4,53,1.6,0.2,30.5,44.8,2019,misc,offense
NOP,64,6.5,5.5,0.57,3.7,0.8,2,39.5,46.5,18.6,50.6,1.9,0.2,29.4,79.3,2019,misc,offense
DEN,65,6.7,6.1,0.54,3.6,0.7,1.9,37.2,39.7,21.5,51,2.5,0.2,29.7,58.6,2019,misc,offense
CLE,65,7,6.3,0.51,3.6,0.8,1.9,42.1,47.1,19.2,54.6,2,0.2,28.4,27.6,2019,misc,offense
TOR,64,5.8,5.2,0.63,3.6,0.6,1.7,37,42.6,24.1,47.5,2.9,0.5,32.4,93.1,2019,misc,offense
ATL,67,6.3,5.4,0.54,3.4,0.7,1.8,40.3,47.1,18.1,55.1,2.4,1.4,27.1,51.7,2019,misc,offense
POR,66,6.5,5.8,0.5,3.3,0.6,1.6,37.7,44.8,18.8,56.9,1.9,0.2,26.4,13.8,2019,misc,offense
DET,66,6.6,6,0.5,3.3,0.6,1.5,43.8,51,20.3,58.9,2.3,1.4,27,10.3,2019,misc,offense
LAC,64,6.3,5.5,0.53,3.3,0.4,1.2,32.9,35.4,24.1,56.8,4.7,0.5,29,34.5,2019,misc,offense
SAC,64,6.5,5.9,0.51,3.3,0.7,1.7,39.6,43.4,20.1,55.3,3.1,0.7,28.2,17.2,2019,misc,offense
IND,65,6,5.5,0.54,3.2,0.6,1.6,36.9,39.8,21,53.5,2,0.8,28.6,48.3,2019,misc,offense
GSW,65,6.8,6.1,0.47,3.2,0.6,1.9,32.2,34.7,17.6,55.9,3.6,0.9,24.7,3.4,2019,misc,offense
BOS,64,5.9,5.3,0.53,3.1,0.4,1.4,32.2,35.6,22.6,55.5,3.2,1.1,27.9,41.4,2019,misc,offense
NYK,66,5.9,5.2,0.51,3,0.5,1.5,37.5,41.7,21.9,54.2,3.6,0.8,27.8,20.7,2019,misc,offense
CHA,65,5.8,5.4,0.51,3,0.4,1.4,24.7,26.9,26.1,50.3,2.4,0.8,29.2,24.1,2019,misc,offense
MEM,65,6.4,5.5,0.46,2.9,0.6,1.6,35.8,38.7,17.9,56.7,2.2,0.2,25.2,0,2019,misc,offense
CHI,65,5.4,4.8,0.54,2.9,0.6,1.7,34.2,39.2,19,49.7,2.6,0.3,28.1,55.2,2019,misc,offense
UTA,64,5.5,5,0.53,2.9,0.4,1.1,33.3,36.1,26.8,53.6,2.8,0.9,30.2,37.9,2019,misc,offense
ORL,65,5.6,5.1,0.49,2.7,0.4,1.5,25.5,27,23.7,49.6,2.5,0.3,28.7,6.9,2019,misc,offense
SAS,63,5.1,4.6,0.53,2.7,0.5,1.3,38.1,41.1,21.3,54,4.6,1.2,28.7,31,2019,misc,offense
GSW,82,5.2,4.6,0.85,4.4,1.6,4.5,34.8,40.6,8,5.4,7.3,0.7,37.6,96.6,2015,offscreen,defense
TOR,82,5.4,5.2,0.85,4.6,1.9,4.8,38.8,44.9,4,8.6,3.2,1.1,37.2,93.1,2015,offscreen,defense
WAS,82,5.3,4.9,0.92,4.9,1.8,4.7,39.5,46.6,6,7.3,5,0.5,39.6,72.4,2015,offscreen,defense
SAS,82,5.6,5.3,0.89,4.9,1.9,4.7,40.1,46.3,7,9.2,6.4,1.3,39.3,82.8,2015,offscreen,defense
ORL,82,5.6,5.1,0.89,4.9,1.9,4.7,40.3,46.2,7,10.5,6.1,1.5,39.5,79.3,2015,offscreen,defense
CHI,82,5.8,5.3,0.86,5,1.9,5.2,37.1,43.7,6,7.3,6.3,2.5,36.7,86.2,2015,offscreen,defense
BOS,82,5.5,4.9,0.93,5.1,1.9,4.7,39.8,47.9,7,8.4,5.7,0.9,39.7,69,2015,offscreen,defense
