team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
PHX,82,8,6.9,1.24,9.9,4,6.4,62.9,62.9,18.4,5.2,18.1,3.8,63.7,44.8,2016,cut,offense
LAL,82,8.5,7.6,1.11,9.4,4,7.1,57,57,12.3,6.3,12.3,2.5,56.6,0,2016,cut,offense
ORL,82,7.3,6.7,1.26,9.1,3.9,6.1,64.4,64.4,15.6,4.5,15.5,4.4,63.4,51.7,2016,cut,offense
MIA,82,7.7,7.2,1.18,9.1,4,6.4,62.4,62.4,13.1,7.1,12.8,3.3,59.9,17.2,2016,cut,offense
MIN,82,7.3,6.8,1.24,9.1,4,6.1,64.6,64.6,13,7.3,13.3,4.5,62,48.3,2016,cut,offense
SAS,82,7.2,6.7,1.26,9,3.8,5.9,64.2,64.2,15.2,6,15.2,4.1,64.2,55.2,2016,cut,offense
MEM,82,7.6,7.2,1.16,8.9,3.8,6.3,60.2,60.2,13.6,6.9,13.3,2.4,59.7,10.3,2016,cut,offense
BKN,82,7.1,6.3,1.19,8.4,3.4,5.7,60.5,60.5,15,7.6,14.5,3.1,60.3,20.7,2016,cut,offense
CLE,82,6.3,5.9,1.32,8.3,3.7,5.2,70.9,70.9,14.7,8.1,14.3,4.4,66.8,86.2,2016,cut,offense
NOP,82,6.9,6.3,1.21,8.3,3.4,5.5,61.1,61.1,17.3,6,16.5,3.9,61.6,31,2016,cut,offense
CHI,82,7.2,6.6,1.14,8.3,3.5,6,58.9,58.9,12,7.7,11.4,2.5,57.7,3.4,2016,cut,offense
DET,82,6,5.6,1.29,7.8,3.2,4.9,65.3,65.3,18.3,4.4,18.1,4.2,65.9,72.4,2016,cut,offense
LAC,82,5.9,5.5,1.32,7.7,3.1,4.4,70.2,70.2,23.5,7.1,22.5,5.6,68.5,89.7,2016,cut,offense
DAL,82,5.8,5.7,1.29,7.5,3,4.7,65.3,65.3,17.6,4.9,17.6,3.6,66.1,75.9,2016,cut,offense
TOR,82,5.3,4.9,1.22,6.5,2.9,4.5,63.6,63.6,12.5,5.1,12.5,2.8,62.4,34.5,2016,cut,offense
GSW,82,13.4,12.3,1.34,17.9,7.8,11.3,69.4,69.4,12.8,6.5,12,3.5,67.3,93.1,2017,cut,offense
PHI,82,10.2,9.1,1.31,13.3,5.7,8.5,67.4,67.4,14,6.4,13.4,4.2,66,82.8,2017,cut,offense
WAS,82,9.7,8.9,1.22,11.8,5,7.9,62.9,62.9,14.1,7.5,13.7,3.6,61.1,27.6,2017,cut,offense
